Summary,Issue Type,Labels,Description
Missing Backend Validation Allows Modification of Completed Jobs,Bug,Security,"h1. Vulnerability: Missing Backend Validation Allows Modification of Completed Jobs

*Severity:* Medium
*CVSS Score:* 6.7
*Vulnerable Endpoint:* Schedule Management API

*Affected Path:*

* {{PATCH /api/v1/schedules/{schedule-id}}}

----

h2. Description

It is observed that the application does not enforce backend validation to restrict modifications once a job/schedule reaches the {{completed}} state. As per the intended business logic, schedules marked as completed should become immutable and no longer allow edits or updates.

During testing, although the frontend restricted modification actions for completed jobs, direct API interaction allowed updates to completed schedules by invoking the schedule update endpoint manually. This indicates that the application relies on frontend restrictions while missing corresponding backend validation checks for job state enforcement.

As a result, authenticated users can modify records that should be finalized and locked, potentially impacting operational integrity, auditability, and downstream workflows.

----

h2. Impact

* *Business Logic Bypass:* Completed jobs can still be modified
* *Integrity Issues:* Finalized operational records become mutable
* *Unauthorized Workflow Manipulation:* Users may alter historical or completed schedule data
* *Audit Reliability Impact:* Completion state no longer guarantees data immutability
* *Operational Discrepancies:* Downstream reporting and tracking may become inconsistent

----

h2. Steps to Reproduce

# Create or identify a schedule with:
{noformat}jobStatus = completed{noformat}
# Observe that the frontend restricts editing actions
# Intercept or manually craft request:
{noformat}PATCH /api/v1/schedules/{schedule-id}{noformat}
# Modify editable fields in the request payload
# Submit the request using a valid authenticated token
# Observe that the completed schedule is updated successfully

----

h2. Root Cause

The backend API does not validate workflow state restrictions before processing update operations and relies solely on frontend/UI enforcement.

----

h2. Solution

* Implement strict backend validation for immutable workflow states
* Reject update requests when:
{noformat}jobStatus = completed{noformat}
* Enforce centralized workflow state transition validation
* Ensure frontend and backend business logic remain synchronized
* Log and monitor attempts to modify completed schedules
* Implement role-based exceptions only where explicitly required and audited

----

h2. CWE-ID

* CWE-840: Business Logic Errors
* CWE-602: Client-Side Enforcement of Server-Side Security

----

h2. OWASP Category

* API6 – Unrestricted Access to Sensitive Business Flows
* A04 – Insecure Design

----

h2. Reference Links

* [https://cwe.mitre.org/data/definitions/840.html|https://cwe.mitre.org/data/definitions/840.html]
* [https://cwe.mitre.org/data/definitions/602.html|https://cwe.mitre.org/data/definitions/602.html]
* [https://owasp.org/API-Security/editions/2023/en/0xa6-unrestricted-access-to-sensitive-business-flows/|https://owasp.org/API-Security/editions/2023/en/0xa6-unrestricted-access-to-sensitive-business-flows/]
* [https://owasp.org/Top10/A04_Insecure_Design/|https://owasp.org/Top10/A04_Insecure_Design/]"
Privilege Escalation via Manipulation of Password Reset Type Parameter,Bug,Security,"h1. Vulnerability: Privilege Escalation via Manipulation of Password Reset Type Parameter

*Severity:* Critical
*CVSS Score:* 9.6
*Vulnerable Endpoint:* Password Reset / User Invitation Flow

*Affected Path (Evidence):*

* {{/reset-password?token={token}&type=admin}}

----

h2. Description

It is observed that the application relies on a user-controllable URL parameter ({{type}}) during the password setup/reset workflow initiated through admin-side user invitations. The application uses the {{type}} parameter to determine privilege context instead of securely deriving the role from the backend or signed token claims.

During testing, invitation emails sent to standard users contained reset-password URLs with a {{type=user}} parameter. By modifying the URL parameter from:

{noformat}type=user{noformat}

to:

{noformat}type=admin{noformat}

it was possible to alter the privilege context during the password setup/reset flow. This indicates that the application trusts client-controlled parameters for authorization-sensitive decisions instead of securely validating role assignments server-side.

Such behavior may allow attackers to escalate privileges and potentially gain unauthorized administrative access depending on downstream role assignment and session generation logic.

----

h2. Impact

* *Privilege Escalation:* Attackers may gain unauthorized administrative privileges
* *Authentication Flow Manipulation:* Sensitive authorization context is client-controlled
* *Unauthorized Admin Access Risk:* Malicious users may compromise privileged functionality
* *Broken Trust Boundary:* Backend relies on user-modifiable URL parameters for security decisions
* *Potential Full Application Compromise:* Administrative privilege abuse may impact entire platform security

----

h2. Steps to Reproduce

# Trigger user invitation flow from admin panel
# Observe invitation email containing reset password link:
{noformat}/reset-password?token=<token>&type=user{noformat}
# Modify the URL parameter:
{noformat}type=admin{noformat}
# Open the modified URL and complete password setup flow
# Observe that the application processes the modified privilege context successfully

----

h2. Root Cause

The application trusts client-controlled URL parameters for authorization-sensitive role determination instead of securely validating role context at the backend or embedding immutable claims within signed tokens.

----

h2. Solution

* Remove role/type determination from user-controllable URL parameters
* Store privilege context securely:
** Inside signed JWT claims
** Backend session state
** Server-side invitation metadata
* Validate invitation roles exclusively at backend level
* Reject privilege context mismatches between token and request parameters
* Implement integrity validation for invitation/reset flows
* Log and monitor abnormal privilege escalation attempts
* Perform security review of all password reset and invitation mechanisms

----

h2. CWE-ID

* CWE-639: Authorization Bypass Through User-Controlled Key
* CWE-602: Client-Side Enforcement of Server-Side Security
* CWE-285: Improper Authorization

----

h2. OWASP Category

* API5 – Broken Function Level Authorization
* A01 – Broken Access Control

----

h2. Reference Links

* [https://cwe.mitre.org/data/definitions/639.html|https://cwe.mitre.org/data/definitions/639.html]
* [https://cwe.mitre.org/data/definitions/602.html|https://cwe.mitre.org/data/definitions/602.html]
* [https://cwe.mitre.org/data/definitions/285.html|https://cwe.mitre.org/data/definitions/285.html]
* [https://owasp.org/API-Security/editions/2023/en/0xa5-broken-function-level-authorization/|https://owasp.org/API-Security/editions/2023/en/0xa5-broken-function-level-authorization/]
* [https://owasp.org/Top10/A01_Broken_Access_Control/|https://owasp.org/Top10/A01_Broken_Access_Control/]"
Missing Input Validation in Publisher Registration API,Bug,Security,"h1. Vulnerability: Missing Input Validation in Publisher Registration API

*Severity:* Medium
*CVSS Score:* 6.5
*Vulnerable Endpoint:* Publisher Registration API

*Affected Path:*

* {{POST /api/v1/auth/signup/publisher/register}}

----

h2. Description

It is observed that the publisher registration API does not implement sufficient input validation for user-supplied fields. During testing, malformed, oversized, and unexpected input values were accepted by the backend without appropriate validation or sanitization controls.

The affected endpoint accepts multiple sensitive registration parameters such as first name, last name, email, phone number, publisher type, and other onboarding details. Insufficient validation may allow attackers to submit unexpected payloads, malformed content, special characters, excessively large values, or invalid business data that may impact downstream application behavior, workflow integrity, notifications, logging systems, or administrative interfaces.

----

h2. Impact

* *Business Logic Integrity Issues:* Invalid or malformed publisher records may be created
* *Potential Injection Risk:* Unsanitized inputs may impact downstream systems or integrations
* *Operational Disruption:* Invalid onboarding data may affect administrative review workflows
* *Inconsistent Data Storage:* Database records may contain unexpected or malformed values
* *Increased Attack Surface:* Weak validation facilitates abuse of registration functionality

----

h2. Steps to Reproduce

# Intercept publisher registration request:
{noformat}POST /api/v1/auth/signup/publisher/register
{noformat}
# Modify input parameters with:
#* Oversized values
#* Special characters
#* Invalid formats
#* Unexpected payloads
# Submit the modified request
# Observe that the backend accepts and processes invalid input values without appropriate validation errors

----

h2. Root Cause

The backend does not implement strict server-side validation and sanitization for registration input parameters.

----

h2. Solution

* Implement strict server-side validation for all registration fields
* Enforce:
** Input length restrictions
** Character whitelisting
** Data type validation
** Format validation
* Reject malformed and unexpected payloads
* Sanitize user-controlled input before processing or storage
* Apply validation consistently across frontend and backend
* Implement centralized validation schemas for onboarding APIs

----

h2. CWE-ID

* CWE-20: Improper Input Validation
* CWE-1284: Improper Validation of Specified Quantity in Input

----

h2. OWASP Category

* API8 – Security Misconfiguration
* A04 – Insecure Design

----

h2. Reference Links

* [https://cwe.mitre.org/data/definitions/20.html|https://cwe.mitre.org/data/definitions/20.html]
* [https://cwe.mitre.org/data/definitions/1284.html|https://cwe.mitre.org/data/definitions/1284.html]
* [https://owasp.org/API-Security/editions/2023/en/0xa8-security-misconfiguration/|https://owasp.org/API-Security/editions/2023/en/0xa8-security-misconfiguration/]
* [https://owasp.org/Top10/A04_Insecure_Design/|https://owasp.org/Top10/A04_Insecure_Design/]"
Excessive Rate Limit Configured on Sensitive Password Change Endpoint,Bug,Security,"h1. Vulnerability: Excessive Rate Limit Configured on Sensitive Password Change Endpoint

*Severity:* Medium
*CVSS Score:* 6.4
*Vulnerable Endpoint:* Change Password API

*Affected Path:*

* {{POST /api/v1/auth/change-password}}

----

h2. Description

It is observed that the password change endpoint is configured with an excessively permissive rate limit compared to other sensitive authentication-related APIs. While most authentication endpoints enforce a restriction of {{5 requests/minute}}, the password change endpoint inherits the global API configuration allowing approximately {{25 requests/minute}}.

During testing, repeated password change attempts were allowed at a significantly higher rate without triggering throttling protections. Since password change functionality is security-sensitive and directly impacts account integrity, weaker rate limiting increases the risk of brute-force attempts, password spraying, automated abuse, and credential validation attacks.

----

h2. Impact

* *Increased Brute Force Risk:* Attackers can perform repeated password-related attempts more rapidly
* *Authentication Abuse:* Sensitive functionality receives weaker protection than intended
* *Reduced Attack Detection:* Higher thresholds delay abuse detection and blocking
* *Inconsistent Security Controls:* Security-sensitive endpoints inherit non-sensitive API configurations

----

h2. Steps to Reproduce

# Authenticate as a valid user
# Send multiple requests to:
{noformat}POST /api/v1/auth/change-password{noformat}
# Observe that approximately {{25 requests/minute}} are accepted
# Compare behavior with other authentication endpoints enforcing:
{noformat}5 requests/minute{noformat}
# Confirm that the endpoint uses global/default API throttling instead of stricter authentication-specific limits

----

h2. Root Cause

The password change endpoint inherits the default/global API rate-limiting configuration instead of implementing stricter controls appropriate for sensitive authentication operations.

----

h2. Solution

* Apply stricter rate limiting to password change endpoints
* Align limits with other sensitive authentication APIs (e.g., {{5 requests/minute}})
* Implement adaptive throttling based on:
** IP address
** User account
** Device/session
* Add temporary lockout or cooldown mechanisms after repeated attempts
* Monitor and alert on abnormal password change activity
* Separate sensitive authentication APIs from generic/global rate limit policies

----

h2. CWE-ID

* CWE-307: Improper Restriction of Excessive Authentication Attempts
* CWE-799: Improper Control of Interaction Frequency

----

h2. OWASP Category

* API4 – Unrestricted Resource Consumption
* A07 – Authentication Failures

----

h2. Reference Links

* [https://cwe.mitre.org/data/definitions/307.html|https://cwe.mitre.org/data/definitions/307.html]
* [https://cwe.mitre.org/data/definitions/799.html|https://cwe.mitre.org/data/definitions/799.html]
* [https://owasp.org/API-Security/editions/2023/en/0xa4-unrestricted-resource-consumption/|https://owasp.org/API-Security/editions/2023/en/0xa4-unrestricted-resource-consumption/]
* [https://owasp.org/Top10/A07_Authentication_Failures/|https://owasp.org/Top10/A07_Authentication_Failures/]"
Unapproved Publisher Can Access Restricted Publisher APIs Before Administrative Approval,Bug,Security,"h1. Vulnerability: Unapproved Publisher Can Access Restricted Publisher APIs Before Administrative Approval

*Severity:* High
*CVSS Score:* 8.2
*Vulnerable Endpoint:* Publisher Functionality APIs

*Affected Path:*

* Publisher-specific authenticated APIs accessible using publisher access tokens

----

h2. Description

It is observed that the application does not enforce publisher approval status validation before granting access to publisher-level APIs. As per the intended business logic, a publisher account must undergo administrative review and approval before being allowed to access publisher functionality.

During testing, newly registered publishers who had not yet been approved by an administrator were still able to successfully access authenticated publisher APIs using valid access tokens. The backend validated only the authentication token and did not verify whether the publisher account had completed the required approval workflow.

This behavior allows unapproved and potentially unverified publishers to interact with restricted platform functionality prior to successful administrative verification.

----

h2. Impact

* *Business Logic Bypass:* Unapproved publishers gain access to restricted platform functionality
* *Unauthorized Access:* Verification and review controls become ineffective
* *Potential Abuse of Platform Features:* Unverified publishers may misuse publisher operations
* *Workflow Integrity Failure:* Administrative approval process loses enforcement value
* *Trust & Compliance Risks:* Unverified entities may access sensitive business processes

----

h2. Steps to Reproduce

# Register a new publisher account
# Ensure the publisher account remains in unapproved/pending state
# Authenticate and obtain a valid access token
# Access publisher APIs using the token:
{noformat}Authorization: Bearer <publisher-token>
{noformat}
# Observe that publisher functionality is accessible despite pending approval status

----

h2. Root Cause

The backend authorization mechanism validates only authentication state and does not enforce publisher approval or onboarding status checks before authorizing publisher functionality.

----

h2. Solution

* Enforce approval status validation for all publisher APIs
* Restrict access until:
** Administrative approval is completed
** Verification workflow is finalized
* Implement centralized authorization middleware validating:
** User role
** Approval status
** Verification state
* Return appropriate authorization errors for pending/unapproved publishers
* Perform periodic authorization reviews for workflow-sensitive APIs
* Log and monitor unauthorized access attempts by unapproved accounts

----

h2. CWE-ID

* CWE-285: Improper Authorization
* CWE-840: Business Logic Errors

----

h2. OWASP Category

* API5 – Broken Function Level Authorization
* A01 – Broken Access Control

----

h2. Reference Links

* [https://cwe.mitre.org/data/definitions/285.html|https://cwe.mitre.org/data/definitions/285.html]
* [https://cwe.mitre.org/data/definitions/840.html|https://cwe.mitre.org/data/definitions/840.html]
* [https://owasp.org/API-Security/editions/2023/en/0xa5-broken-function-level-authorization/|https://owasp.org/API-Security/editions/2023/en/0xa5-broken-function-level-authorization/]
* [https://owasp.org/Top10/A01_Broken_Access_Control/|https://owasp.org/Top10/A01_Broken_Access_Control/]"
Application Accepts Current Password as New Password in Password Reset Workflows,Bug,Security,"h1. Vulnerability: Application Accepts Current Password as New Password in Password Reset Workflows

*Severity:* Medium
*CVSS Score:* 5.9
*Vulnerable Endpoint:* Password Management APIs

*Affected Path:*

* {{POST /api/v1/auth/change-password}}
* {{POST /api/v1/auth/reset-password}}

----

h2. Description

It is observed that the application allows users to reuse their existing/current password as the new password during both password change and forgot password/reset password workflows. The application does not enforce validation to ensure that the newly submitted password differs from the current password already associated with the account.

During testing, the same password value currently assigned to the account was submitted in both change-password and reset-password functionalities and was accepted successfully. This indicates missing password reuse validation logic in sensitive authentication workflows. Such behavior weakens password hygiene enforcement and reduces the effectiveness of password reset operations intended to improve account security after compromise or recovery events.

----

h2. Impact

* *Weak Password Hygiene Enforcement:* Users can continue using previously compromised passwords
* *Reduced Security Effectiveness:* Password reset operations may not improve account security
* *Increased Account Compromise Risk:* Reused credentials remain valid after reset workflows
* *Non-Compliance with Security Best Practices:* Password lifecycle controls are weakened

----

h2. Steps to Reproduce

# Authenticate into the application
# Navigate to password change functionality
# Submit request:
{noformat}POST /api/v1/auth/change-password{noformat}
# Use the same value for:
{noformat}current_password = new_password{noformat}
# Observe that the request is accepted successfully
# Repeat similar testing for:
{noformat}POST /api/v1/auth/reset-password{noformat}
# Observe that the current/existing password is accepted again as the reset password

----

h2. Root Cause

The application does not validate whether the new password differs from the user’s currently active password during password update and reset operations.

----

h2. Solution

* Enforce validation ensuring:
{noformat}new_password != current_password{noformat}
* Implement server-side password reuse prevention checks
* Apply password history validation where applicable
* Enforce strong password policy controls
* Return appropriate validation errors for password reuse attempts
* Apply consistent validation across all password management workflows

----

h2. CWE-ID

* CWE-521: Weak Password Requirements
* CWE-640: Weak Password Recovery Mechanism for Forgotten Password

----

h2. OWASP Category

* API2 – Broken Authentication
* A07 – Authentication Failures

----

h2. Reference Links

* [https://cwe.mitre.org/data/definitions/521.html|https://cwe.mitre.org/data/definitions/521.html]
* [https://cwe.mitre.org/data/definitions/640.html|https://cwe.mitre.org/data/definitions/640.html]
* [https://owasp.org/API-Security/editions/2023/en/0xa2-broken-authentication/|https://owasp.org/API-Security/editions/2023/en/0xa2-broken-authentication/]
* [https://owasp.org/Top10/A07_Authentication_Failures/|https://owasp.org/Top10/A07_Authentication_Failures/]"
Active Access Tokens Remain Valid After Password Change and Reset,Bug,Security,"h1. Vulnerability: Active Access Tokens Remain Valid After Password Change and Reset

*Severity:* Medium
*CVSS Score:* 6.7
*Vulnerable Endpoint:* Authentication & Session Management APIs

*Affected Path:*

* {{POST /api/v1/auth/change-password}}
* {{POST /api/v1/auth/reset-password}}

----

h2. Description

It is observed that the application does not invalidate previously issued access tokens after successful password change or password reset operations. Existing authenticated sessions continue to remain active even after account credentials are updated.

During testing, after successfully changing/resetting the account password, previously generated access tokens were reused to access authenticated APIs successfully. This indicates that the application does not revoke active sessions or enforce token invalidation during credential lifecycle events. Such behavior weakens account recovery protections and increases the attack window if tokens are compromised.

----

h2. Impact

* *Session Hijacking Risk:* Previously compromised tokens remain usable
* *Ineffective Account Recovery:* Password reset does not terminate unauthorized sessions
* *Unauthorized Persistent Access:* Attackers may continue accessing accounts after credential updates
* *Weak Session Management:* Authentication state is not synchronized with credential changes

----

h2. Steps to Reproduce

# Authenticate into the application and capture an access token
# Perform password change:
{noformat}POST /api/v1/auth/change-password{noformat}
# Alternatively perform password reset:
{noformat}POST /api/v1/auth/reset-password{noformat}
# Reuse the previously captured access token:
{noformat}Authorization: Bearer <old-token>{noformat}
# Access an authenticated API endpoint
# Observe that the request is still accepted successfully

----

h2. Root Cause

The application does not revoke or invalidate active sessions/access tokens after password modification events.

----

h2. Solution

* Invalidate all active access tokens after:
** Password change
** Password reset
* Force re-authentication across all active sessions
* Implement centralized token/session revocation mechanisms
* Maintain token blacklist or session invalidation store
* Use short-lived access tokens with refresh token rotation
* Log and monitor suspicious session persistence behavior

----

h2. CWE-ID

* CWE-613: Insufficient Session Expiration
* CWE-384: Session Fixation

----

h2. OWASP Category

* API2 – Broken Authentication
* A07 – Authentication Failures

----

h2. Reference Links

* [https://cwe.mitre.org/data/definitions/613.html|https://cwe.mitre.org/data/definitions/613.html]
* [https://cwe.mitre.org/data/definitions/384.html|https://cwe.mitre.org/data/definitions/384.html]
* [https://owasp.org/API-Security/editions/2023/en/0xa2-broken-authentication/|https://owasp.org/API-Security/editions/2023/en/0xa2-broken-authentication/]
* [https://owasp.org/Top10/A07_Authentication_Failures/|https://owasp.org/Top10/A07_Authentication_Failures/]"
Business Logic Bypass Allows Publisher Approval Without Mandatory Verification Checks,Bug,Security,"h1. Vulnerability: Business Logic Bypass Allows Publisher Approval Without Mandatory Verification Checks

*Severity:* Critical
*CVSS Score:* 9.4
*Vulnerable Endpoint:* Publisher Signup & Approval Workflow APIs

*Affected Path:*

* {{POST /api/v1/auth/signup/publisher/register}}
* {{PATCH /api/v1/admin/publishers/{user-id}/approve}}

----

h2. Description

It is observed that the publisher onboarding workflow fails to enforce mandatory verification controls at the backend level. As per the intended business logic, publisher onboarding requires successful completion of:

* Email verification
* Mobile number verification
* Document verification
* Stripe facial verification (where applicable)

However, during testing it was possible to directly invoke the unauthenticated publisher registration API and create publisher accounts without completing email or mobile verification steps. The endpoint accepts registration requests directly and creates publisher records in the system despite missing verification states.

Additionally, although such partially onboarded publishers cannot normally be approved from the frontend UI due to missing document submissions, the backend approval API processes approvals solely based on the publisher user ID. By invoking the approval API directly:

{code:json}PATCH /api/v1/admin/publishers/{user-id}/approve

{
  ""notes"": null
}{code}

it was possible to approve publishers without document verification, mobile verification, email verification, or Stripe facial verification.

This issue becomes significantly more severe in environments supporting multiple admins or support-admin roles, especially because the application currently lacks adequate approval audit logs, making unauthorized approvals difficult to trace.

----

h2. Impact

* *Complete Verification Bypass:* Email, phone, document, and facial verification controls can be bypassed
* *Unauthorized Publisher Account Creation:* Unverified publishers can gain trusted platform status
* *Identity Verification Failure:* Fraudulent or fake publisher identities may be onboarded
* *Business Workflow Bypass:* Critical onboarding controls are enforced only at UI level
* *Lack of Accountability:* Missing approval logs hinder forensic investigation
* *Potential Regulatory & Trust Impact:* Weak KYC/verification enforcement may violate compliance requirements

----

h2. Steps to Reproduce

# Navigate to publisher signup workflow:
{noformat}/signup/publisher?step=1&type=filmmaker{noformat}
# Instead of completing OTP verification flows, directly invoke:
{noformat}POST /api/v1/auth/signup/publisher/register{noformat}
# Submit required payload containing:
#* Email
#* Phone number
#* Password
#* Publisher type
#* First name
#* Last name
#* DOB
#* Language
# Observe that publisher account is successfully created without OTP verification
# Verify that publisher appears in admin publisher listing
# Invoke approval API directly:
{noformat}PATCH /api/v1/admin/publishers/{user-id}/approve{noformat}
# Submit payload:
{code:json}{
  ""notes"": null
}{code}
# Observe that publisher account becomes approved despite missing:
#* Email verification
#* Mobile verification
#* Document verification
#* Stripe facial verification

----

h2. Root Cause

Critical onboarding and verification controls are enforced only at the frontend/UI layer, while backend APIs fail to validate verification state, workflow completion, and mandatory approval prerequisites.

----

h2. Solution

* Enforce all verification checks at backend level before allowing:
** Publisher registration completion
** Publisher approval
* Validate:
** Email verification status
** Mobile verification status
** Document upload completion
** Stripe/KYC verification completion
* Prevent approval of publishers with incomplete onboarding states
* Implement strict workflow state validation for approval APIs
* Add comprehensive audit logs for:
** Approval actions
** Rejection actions
** Verification bypass attempts
* Restrict direct approval actions to authorized privileged roles only
* Implement centralized workflow integrity validation

----

h2. CWE-ID

* CWE-840: Business Logic Errors
* CWE-602: Client-Side Enforcement of Server-Side Security
* CWE-306: Missing Authentication for Critical Function

----

h2. OWASP Category

* API6 – Unrestricted Access to Sensitive Business Flows
* A04 – Insecure Design

----

h2. Reference Links

* [https://cwe.mitre.org/data/definitions/840.html|https://cwe.mitre.org/data/definitions/840.html]
* [https://cwe.mitre.org/data/definitions/602.html|https://cwe.mitre.org/data/definitions/602.html]
* [https://cwe.mitre.org/data/definitions/306.html|https://cwe.mitre.org/data/definitions/306.html]
* [https://owasp.org/API-Security/editions/2023/en/0xa6-unrestricted-access-to-sensitive-business-flows/|https://owasp.org/API-Security/editions/2023/en/0xa6-unrestricted-access-to-sensitive-business-flows/]
* [https://owasp.org/Top10/A04_Insecure_Design/|https://owasp.org/Top10/A04_Insecure_Design/]"
Business Logic Bypass Allows Rejection of Already Approved Publisher Requests,Bug,Security,"h1. Vulnerability: Business Logic Bypass Allows Rejection of Already Approved Publisher Requests

*Severity:* High
*CVSS Score:* 8.3
*Vulnerable Endpoint:* Publisher Approval/Rejection Workflow APIs

*Affected Path:*

* {{PATCH /api/v1/admin/publisher/{user_uuid}/approve}}
* {{PATCH /api/v1/admin/publisher/{user_uuid}/reject}}

----

h2. Description

It is observed that the application fails to enforce backend business logic restrictions in the publisher verification workflow. As per the intended process, once a publisher request has been approved by the admin, the request should become immutable from a rejection perspective and should not be eligible for further rejection actions.

During testing, although the frontend UI removed the reject submission option after approval, the backend APIs still allowed rejection operations by directly invoking the rejection endpoint. By manipulating API requests, an already approved publisher account could be transitioned back into a rejected state. This behavior bypasses the intended workflow restrictions and demonstrates that critical business logic enforcement exists only at the frontend layer instead of the backend.

Additionally, fields related to rejection notes  remained exposed in the UI after approval, which further indicates incomplete workflow state handling.

----

h2. Impact

* *Business Workflow Manipulation:* Approved publishers can be forcibly reverted to rejected state
* *Unauthorized State Transition:* Backend permits invalid workflow actions
* *Operational Disruption:* Legitimately approved publishers may lose platform access unexpectedly
* *Integrity Issues:* Approval lifecycle and verification process become unreliable
* *Potential Abuse by Privileged Users:* Admin/API misuse may result in unauthorized reversals

----

h2. Steps to Reproduce

# Complete publisher onboarding and obtain approval status
# Observe that the frontend still provides reject action fields but no 
# Capture a valid approve request format while performing the flow:
{noformat}PATCH /api/v1/admin/publisher/{user_uuid}/approve{noformat}
# Modify the endpoint value from “approve” to “reject”, notice it throws the name of field “reject” request payload requires. Change it accordingly replay the manually craft the rejection request against an already approved publisher.
# Submit required payload parameters and observe the access gets revoked.
# Observe that the publisher status changes from approved to rejected successfully.

----

h2. Root Cause

The backend does not validate workflow state transitions and relies on frontend restrictions instead of enforcing server-side business logic checks.

----

h2. Solution

* Enforce strict *server-side workflow validation*
* Prevent rejection operations once publisher status is approved
* Implement *state transition validation rules* at backend level
* Hide or disable irrelevant review fields after approval completion
* Validate current workflow status before processing approval/rejection APIs
* Log and monitor abnormal workflow transitions
* Implement centralized workflow authorization and state management

----

h2. CWE-ID

* CWE-840: Business Logic Errors
* CWE-602: Client-Side Enforcement of Server-Side Security

----

h2. OWASP Category

* API6 – Unrestricted Access to Sensitive Business Flows
* A04 – Insecure Design

----

h2. Reference Links

* [https://cwe.mitre.org/data/definitions/840.html|https://cwe.mitre.org/data/definitions/840.html]
* [https://cwe.mitre.org/data/definitions/602.html|https://cwe.mitre.org/data/definitions/602.html]
* [https://owasp.org/API-Security/editions/2023/en/0xa6-unrestricted-access-to-sensitive-business-flows/|https://owasp.org/API-Security/editions/2023/en/0xa6-unrestricted-access-to-sensitive-business-flows/]
* [https://owasp.org/Top10/A04_Insecure_Design/|https://owasp.org/Top10/A04_Insecure_Design/]"
Login API Vulnerable to Replay Attacks,Bug,Security,"h1. Vulnerability: Login API Vulnerable to Replay Attacks

*Severity:* High
*CVSS Score:* 8.1
*Vulnerable Endpoint:* Authentication API

*Affected Path:*

* {{POST /api/v1/auth/login}}

----

h2. Description

It is observed that the login functionality is vulnerable to replay attacks due to the absence of anti-replay protections and request uniqueness validation. Identical authentication requests can be replayed multiple times and are processed successfully by the server.

During testing, previously captured login requests were resent without modification and were accepted successfully, resulting in repeated authentication responses and issuance of valid sessions/tokens. This indicates that the application does not enforce nonce validation, timestamp verification, request signing, or replay detection mechanisms.

----

h2. Impact

* *Unauthorized Session Generation:* Captured authentication requests can be reused
* *Session Abuse Risk:* Attackers may replay intercepted requests to gain access
* *Authentication Weakness:* Lack of request uniqueness validation weakens login security
* *Increased Risk on Shared/Compromised Networks:* Intercepted requests remain reusable
* *Potential Account Compromise:* Replayable authentication traffic can facilitate unauthorized access

----

h2. Steps to Reproduce

# Intercept a valid login request:
{noformat}POST /api/v1/auth/login{noformat}
# Capture the complete request body and headers
# Resend the exact same request multiple times using Burp Repeater or similar tool
# Observe that the server processes the request successfully each time
# Confirm that valid authentication responses/tokens are returned repeatedly

----

h2. Root Cause

The application does not implement replay protection mechanisms such as nonce validation, request expiration, timestamp verification, or one-time authentication request handling.

----

h2. Solution

* Implement *nonce/token-based replay prevention*
* Enforce *timestamp validation* for authentication requests
* Reject duplicate or previously processed authentication requests
* Use *short-lived authentication challenges*
* Implement *rate limiting and anomaly detection*
* Ensure all authentication traffic is protected using TLS
* Consider device/session binding mechanisms where applicable

----

h2. CWE-ID

* CWE-294: Authentication Bypass by Capture-replay
* CWE-307: Improper Restriction of Excessive Authentication Attempts

----

h2. OWASP Category

* API2 – Broken Authentication
* A07 – Authentication Failures

----

h2. Reference Links

* [https://cwe.mitre.org/data/definitions/294.html|https://cwe.mitre.org/data/definitions/294.html]
* [https://cwe.mitre.org/data/definitions/307.html|https://cwe.mitre.org/data/definitions/307.html]
* [https://owasp.org/API-Security/editions/2023/en/0xa2-broken-authentication/|https://owasp.org/API-Security/editions/2023/en/0xa2-broken-authentication/]
* [https://owasp.org/Top10/A07_Authentication_Failures/|https://owasp.org/Top10/A07_Authentication_Failures/]"
